# Category	LocalIndex	DisplayName	BlueprintCost	ConstructionCost	TemplateType	IconPath	SpriteTexturePath	DetailText
Infrastructure	0	도로		15	SingleTileMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\T_ICO_Road.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\T_ICO_Road.png	등장 시기: 식민지 시대, 세계대전 시대(다리)\n건물을 도로로 연결하여 상품 운송과 이동을 가능하게 합니다.
Infrastructure	1	철거		무료	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\T_ICO_Demolish.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\T_ICO_Demolish.png	등장 시기: 식민지 시대\n건물, 장식물, 다리, 도로를 철거합니다.
Infrastructure	2	항구		9600	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_dock.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_dock.png	등장 시기: 식민지 시대\n필요 인력: 6 (무학력자)\n비고: 도로, 해안, 최소 1개 필요\n효과: 수입/수출, 이민/이주 처리, 주변 치안 감소\n운영 모드:\n- 일반 통제\n- 철두철미한 검사 (범죄 -15, 효율 -20%)
Infrastructure	3	건설 사무소		2000	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_constructionOffice.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_constructionOffice.png	등장 시기: 식민지 시대\n필요 인력: 6 (무학력자)\n크기: 3x2\n비고: 도로, 최소 1개 필요\n운영 모드:\n- 일반 통제\n- 안전 규정 무시 (건설 속도 +20%, 사망 위험 10%)\n업그레이드:\n- 더 많은 일손 (1200, 일자리 +4)
Infrastructure	4	운송업자 사무소		2000	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_teamstersOffice.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_teamstersOffice.png	등장 시기: 식민지 시대\n필요 인력: 6 (무학력자)\n크기: 3x2\n비고: 도로, 최소 1개 필요\n운영 모드:\n- 안전 하중\n- 느슨한 하중 제한 (적하량 +50%, 최대 10% 화물 손실)\n업그레이드:\n- 교대 근무 (세계대전 시대, 2500, 일자리 +6)
Infrastructure	5	선창		300	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_landing.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_landing.png	등장 시기: 식민지 시대\n크기: 2x5\n비고: 해안\n시민/관광객의 보트 승하선을 지원합니다.
Infrastructure	6	화물창고		1700	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_storageQuay.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_storageQuay.png	등장 시기: 식민지 시대\n필요 인력: 갑판원 업그레이드 시 6 (무학력자)\n크기: 2x5\n비고: 해안, 도로\n운영 모드:\n- 안전 하중\n- 느슨한 속도 제한 (화물선 속도 +50%, 최대 5% 화물 손실)\n업그레이드:\n- 갑판원 (1200, 일자리 +6)
Infrastructure	7	창고		4000	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_DLC_warehouse.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_DLC_warehouse.png	등장 시기: 식민지 시대\n필요 인력: 없음\n크기: 3x3\n비고: 도로\n효과: 최대 3종류 상품 대량 보관 및 물류 지침 설정\n업그레이드:\n- 고층 진열대 (냉전, 5000, 슬롯당 보관량 +5000)\n- 무작위 창고 보관 (현대, 15000, 슬롯 보관량 +50%)
Infrastructure	8	변전소	1000	2000	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_electricSubstation.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_electricSubstation.png	등장 시기: 세계대전 시대\n필요 인력: 없음\n필요 전력: 10MW\n크기: 1x1\n효과: 전력망 반경 확장, 공해 배출
Infrastructure	9	발전소	6000	12000	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_powerPlant.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_powerPlant.png	등장 시기: 세계대전 시대\n필요 인력: 6 (고졸)\n생산 전력: 360MW\n크기: 4x6\n비고: 도로\n업그레이드:\n- 중앙 냉난방 (냉전, 4000)\n- 오염 필터 (냉전, 5000)\n- 석유 가열로 (냉전, 6000)
Infrastructure	10	대형 주차장	1000	1200	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_parkDeck.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_parkDeck.png	등장 시기: 세계대전 시대\n필요 인력: 1 (무학력자)\n크기: 2x2\n비고: 도로\n효과: 부유한 시민/관광객 자동차 이용, 주변 치안 감소\n업그레이드:\n- 카메라 감시 (현대, 800)
