# BuildingId	Description
build_1_3	트로피코의 어느 섬에서든 항구는 상인에게 화물을 내리고 실을 수 있는 시설을, 밀항자에게는 무료 여행 서비스를 이용할 기회를, 건달에게는 몸을 숨길 공간을 제공합니다.
build_1_4	건설 사무소는 낙관적인 건설 일정 추정, 저질 재료 교체, 점심시간에 일찍 나가기 등의 다양한 전문 서비스를 제공합니다.
build_1_5	운송업자 사무소가 없으면 물건을 옮길 수가 없습니다. 설령 하나 있더라도 빠른 배송을 기대하지는 마십시오.
build_1_6	어느 해변에나 배를 댈 수 있다는 사실은 오래전부터 알려졌지만, 선창은 배가 떠날 때가 될 때까지 물에 떠 있도록 하는 확실한 방법입니다.
build_1_7	트로피코인들은 상자와 통, 낡은 밧줄을 잔뜩 쌓아 두는 경향이 있습니다. 섬 생활의 특징이죠. 화물을 어지럽게 쌓아 두는 것은 사실... 모종의 사업 활동에 도움이 된답니다.
build_1_8	넓고 빈 공간에 불과하단 점을 고려해보면 창고로 두자는 제안은 많이 이상하군요. 그러니까 공터에 어떻게 맞는 자물쇠를 걸 수 있냐는 거죠.
build_1_9	전기를 생산하는 것만으로는 부족합니다. 적절한 지역에 배분하려면 변전소가 필요하죠. 몸에 금속 막대를 박았다면 변전소 근처에는 가지 마십시오.
build_1_10	발전소는 백만 년 묵은 공룡의 유해를 신선하고 현대적인 전기로 바꿔 주어, 주전자에 물을 너무 많이 붓는 트로피코 주민들이 낭비할 전기를 마련해줍니다.
build_1_11	대형 주차장 안의 복잡한 미궁은 하얀색 선으로 깔끔하게 구분되어 있습니다. 물론 예술적인 차량 배치를 선호하는 트로피코인들은 이 선을 가볍게 무시하곤 하죠.
build_1_12	버스 차고지가 있으면, 기사가 도로의 제왕 노릇을 하며 버스보다 느린 차를 신나게 들이받는 동안 승객들은 비좁고 냄새나는 경험을 할 수 있습니다.
build_1_13	버스 정류장은 효과적인 버스 운행에 필수적일 뿐만 아니라, 사람들이 손목시계를 힐끗거리며 불편하게 꼼지락거릴 수 있는 공간이기도 합니다.
build_1_15	건축가라면 누구나 역사에 흔적을 남기고 싶어 합니다. 플루토늄의 반감기가 24,100년이라는 점을 고려하면, 원자력 발전소를 짓는 건축가는 역사에 훨씬 더 오래 흔적을 남기겠지요.
build_1_16	지하철역이 있으면, 통근자는 지하를 내달리는 금속 통에 갇힌 채 바짝 붙어 서서, 남의 귀에 돋은 털을 관찰하고 겨드랑이 냄새를 맡을 수 있습니다.
build_1_17	많은 시민들은 어째서 이 시설에 안전 지침을 적용한 정치인들은 불신하면서, 이 케이블카를 만드는 기술자들에겐 목숨을 맡기는 걸까요...? 현대 트로피코의 가장 아리송한 수수께끼 중 하나랍니다!
build_1_18	전기 생산에 필요 이상으로 돈을 많이 쓰고 싶거나 히피들에게 좋은 인상을 주고 싶다면, 풍력 터빈은 최고의 선택입니다.
build_1_19	소음 공해가 없는 고정 풍력 터빈이 생산하는 모든 전기는 시민들을 위한 것입니다. 각하께서 인어까지 시민에 포함하시지 않는다면 말이지요. 그래도 그럴 리가 없잖습니까. 비린내 나는 물고기나 반쯤 먹힌 다리도 화폐로 받아들이지 않는 마당에 말이죠.
build_1_20	태양광 발전소는 친환경 전기의 궁극적인 형태입니다... 물론 태양 전지를 생산하는데 들어가는 염산, 황산, 질산, 플루오르화수소, 트라이클로로에테인, 아세톤을 무시한다면 말이죠.
build_2_1	어언 1,000년간, 코코야자는 바닥에 코코넛을 떨어뜨려 나무가 자라나게 하는 것 말고는 영 쓸모가 없었습니다. 이제 코코넛 수확소에서 이 쓸모없는 식물을 없어선 안 되는 상품 작물로 바꾸어줄 겁니다.
build_2_2	오랫동안 기술은 희귀하고 아름다운 트로피코의 나무를 더욱 빠르고 효율적으로 벌목하는 방향으로 진보했습니다. 이런 진보에 누가 반론을 제기할 수 있을까요?
build_2_3	턱수염을 기른 무뚝뚝한 뱃사람들이 바닷물과 생선 내장 냄새를 맡을 수 있는 어선 선착장이 없는 해변은 해변이 아닙니다. 게다가 생선을 먹을 수도 있죠. 진짜 대박 아닙니까!
build_2_4	앞으로 몇 세기 동안 사람들은 자기 이익을 전혀 돌보지 않고 모두에게 일자리와 식량을 제공했던 대규모 농장 소유자들을 따스하게 추억할 것입니다.
build_2_5	트로피코의 퇴비 살포 전문가들은 토양에 변을 뿌리거나 토스트에 버터를 바르는 등 뭔가 펼치는 일에 해박합니다. 둘이 섞이는 일은 없길 바랍시다.
build_2_6	목장에서는 트로피코에서 가장 덜 귀여운 동물들을 교배하고 길러서 고기 따위의 유용한 물건으로 바꾼 다음, 두둑한 현금을 받고 팝니다.
build_2_7	현명한 지도자는 주위에 널린 자원뿐만 아니라 위아래에 있는 자원까지 알차게 활용합니다. 땅속에 누군가가 차지해주길 기다리는 부가 잠들어있군요.
build_2_8	유정을 세우는 나라에는 좋은 일만 일어납니다. 절대로 침략의 대상이 되는 일도 없고, 석유로 돈을 벌어들인 부자들이 빈민을 지배하는 상류층 치중 경제 구조가 형성되는 일도 없죠.
build_2_9	물을 채운 수조에 물고기를 빼곡하게 채워 넣을 수 있는데 굳이 강에서 낚시할 필요가 있을까요? 양식장은 독 안에 든 물고기를 잡는 것과 거의 비슷하다고 할 수 있답니다.
build_2_10	이 기적의 연안 시설은 해저의 원유를 '검은 황금'으로 바꾸어 줍니다. 석유 시추 장치는 조건만 맞으면 아주 활활 타오르는 시설이기도 하죠. 흡연은 제발 참아주세요!
