# BuildingId	ProducedType	ProducedLabel	Input1Type	Input1Amount	Input1Label	Input2Type	Input2Amount	Input2Label	VisitConsumptionType
build_2_1	Coconuts	코코넛							Coconuts
build_2_2	Logs	통나무							
build_2_3	Fish	생선							Fish
build_2_4	Crops	설탕/코코아/과일 작물							Crops
build_2_5	AnimalProducts	가축 자원							
build_2_6	AnimalProducts	생가죽/양모							AnimalProducts
build_2_7	Ore	광석							
build_2_8	Oil	석유							
build_2_9	FarmedFish	양식 수산물							FarmedFish
build_2_10	Oil	해양 석유							
build_2_11	HydroponicProduce	수경 작물							HydroponicProduce
build_2_12	FactoryLivestock	육류/유제품	Crops	1	사료 작물				FactoryLivestock
build_3_1	Ore	고속 채굴 자원							
build_3_2	Planks	널빤지	Logs	1	통나무				
build_3_3	Rum	럼주	Crops	1	설탕 작물				
build_3_4	Leather	가죽	AnimalProducts	1	생가죽				
build_3_5	CannedGoods	통조림	Fish	1	생선/파인애플				
build_3_6	Cheese	치즈	AnimalProducts	1	우유				
build_3_7	Cigars	시가	Crops	1	담배 잎				
build_3_8	Boats	보트	Planks	1	널빤지				
build_3_9	Steel	강철	Ore	2	철광석 + 석탄				
build_3_10	Textiles	옷감	Crops	1	목화/양모				
build_3_11	Weapons	무기	Steel	1	강철	Ore	1	니켈	
build_3_12	Chocolate	초콜릿	Crops	2	코코아 + 설탕				
build_3_13	Furniture	가구	Planks	1	널빤지				
build_3_14	Jewelry	보석류	Ore	1	황금				
build_3_15	Plastic	플라스틱	Oil	1	석유				
build_3_16	Cars	차량	Steel	1	강철	AnimalProducts	1	고무	
build_3_17	Electronics	전자 제품	Plastic	1	플라스틱	Ore	1	황금	
build_3_18	Apparel	의류	Textiles	1	옷감	Leather	1	가죽	
build_3_19	Pharmaceuticals	의약품	Oil	1	석유				
build_3_20	Juice	주스	Crops	1	바나나/파인애플				
build_5_6	None	-							Crops
build_5_8	None	-							FactoryLivestock
build_5_19	None	-							Cheese
build_8_2	None	-							Crops
build_8_10	None	-							CannedGoods
