# BuildingId	PollutionOutput	PollutionMitigation	SourceDisplayName
build_1_9	18		변전소
build_2_2	8		벌목소
build_2_7	18		광산
build_2_8	18		정유시설
build_2_12	8		공장식 목장
build_3_1	18		자동화 광산
build_3_5	18		통조림 공장
build_3_6	8		유제품 공장
build_3_8	18		조선소
build_3_11	18		무기 공장
build_3_12	8		초콜릿 공장
build_3_13	18		가구 공장
build_3_14	8		보석 세공소
build_3_15	32		플라스틱 공장
build_3_16	18		자동차 공장
build_3_17	18		전자 제품 공장
build_3_18	8		패션 회사
build_3_19	18		제약 회사
build_3_20	8		주스 공장
build_4_1	8		판잣집
build_4_9	8		공동주택
build_5_4		12	식물원
build_8_9	18	20	쓰레기장
build_8_11		20	폐기물 처리장
