# DisplayName	AssetName	SourceEra	ProjectEraHint	SourcePack	SourceGroup	SourceCategory	ProjectCategoryHint	GameplayCategory	BuildCost	BlueprintCost	ConnectionCostPerCell	IsLandmark	KeybindAction	AssetPath	BlueprintPath
Tour Office	DA_T6TourPoint	Cold War	ColdWar	Cold War	ColdWar				0	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_T6TourPoint.uasset	/Game/Blueprints/Buildings/ColdWar/TourOffice/BP_T6TourPoint.BP_T6TourPoint_C
Arcade	DA_Arcade	Cold War	ColdWar	Cold War	ColdWar	Entertainment	Entertainment	Entertainment	2400	0	0	False	BuildArcade	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_Arcade.uasset	/Game/Blueprints/Buildings/ColdWar/Arcade/BP_T6Arcade.BP_T6Arcade_C
Dungeon Entrance	DA_T6DungeonEntrance	Cold War	ColdWar	Cold War	ColdWar	Entertainment	Entertainment	Entertainment	6666	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\ColdWar\DungeonEntrance\DA_T6DungeonEntrance.uasset	/Game/Blueprints/Buildings/ColdWar/DungeonEntrance/DA_T6DungeonEntrance
Fast Food Joint	DA_T6FastFoodJoint	Cold War	ColdWar	Cold War	ColdWar	Entertainment	Entertainment	Entertainment	2300	0	0	False	BuildFastFoodJoint	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_T6FastFoodJoint.uasset	/Game/Blueprints/Buildings/ColdWar/FastFoodJoint/BP_T6FastFoodJoint.BP_T6FastFoodJoint_C
Movie Theater	DA_MovieTheater	Cold War	ColdWar	Cold War	ColdWar	Entertainment	Entertainment	Entertainment	9440	0	0	False	BuildMovieTheater	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_MovieTheater.uasset	/Game/Blueprints/Buildings/ColdWar/MovieTheater/BP_T6MovieTheater.BP_T6MovieTheater_C
Fish Farm	DA_FishFarm	Cold War	ColdWar	Cold War	ColdWar	FoodAndResources	FoodResource		8000	0	0	False	BuildFishFarm	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_FishFarm.uasset	/Game/Blueprints/Buildings/ColdWar/FishFarm/BP_T6FishFarm.BP_T6FishFarm_C
Oil Rig	DA_OilRig	Cold War	ColdWar	Cold War	ColdWar	FoodAndResources	FoodResource	SoilResources	20000	0	0	False	BuildOilRig	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_OilRig.uasset	/Game/Blueprints/Buildings/ColdWar/OilRig/BP_T6OilRig.BP_T6OilRig_C
Courthouse	DA_Courthouse	Cold War	ColdWar	Cold War	ColdWar	Government	GovernmentFinance	Govermental	8000	0	0	False	BuildCourthouse	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_Courthouse.uasset	/Game/Blueprints/Buildings/ColdWar/Courthouse/BP_T6Courthouse.BP_T6Courthouse_C
Ministry Of Information	DA_MinistryOfInformation	Cold War	ColdWar	Cold War	ColdWar	Government	GovernmentFinance	Govermental	18000	0	0	False	BuildMinistryOfInformation	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_MinistryOfInformation.uasset	/Game/Blueprints/Buildings/ColdWar/MinistryOfInformation/BP_T6MinistryOfInformation.BP_T6MinistryOfInformation_C
Conventillo	DA_T6Conventillo	Cold War	ColdWar	Cold War	ColdWar	Housing	Housing	Residential	3900	0	0	False	BuildConventillo	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_T6Conventillo.uasset	/Game/Blueprints/Buildings/ColdWar/Conventillo/BP_T6Conventillo.BP_T6Conventillo_C
Flophouse	DA_Flophouse	Cold War	ColdWar	Cold War	ColdWar	Housing	Housing	Residential	1800	0	0	False	BuildFlophouse	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_Flophouse.uasset	/Game/Blueprints/Buildings/ColdWar/Flophouse/BP_T6Flophouse.BP_T6Flophouse_C
Mansion Cold War	DA_MansionColdWar	Cold War	ColdWar	Cold War	ColdWar	Housing	Housing	Residential	1650	0	0	False	BuildColdWarMansion	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_MansionColdWar.uasset	/Game/Blueprints/Buildings/ColdWar/MansionColdWar/BP_T6MansionColdWar.BP_T6MansionColdWar_C
Tenement	DA_T6Tenement	Cold War	ColdWar	Cold War	ColdWar	Housing	Housing	Residential	3500	0	0	False	BuildTenement	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_T6Tenement.uasset	/Game/Blueprints/Buildings/ColdWar/Tenement/BP_T6Tenement.BP_T6Tenement_C
Chocolate Factory	DA_ChocolateFactory	Cold War	ColdWar	Cold War	ColdWar	Industry	Industry	Industrial	6500	0	0	False	BuildChocolateFactory	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_ChocolateFactory.uasset	/Game/Blueprints/Buildings/ColdWar/ChocolateFactory/BP_T6ChocolateFactory.BP_T6ChocolateFactory_C
Furniture Factory	DA_FurnitureFactory	Cold War	ColdWar	Cold War	ColdWar	Industry	Industry	Industrial	8000	0	0	False	BuildFurnitureFactory	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_FurnitureFactory.uasset	/Game/Blueprints/Buildings/ColdWar/FurnitureFactory/BP_T6FurnitureFactory.BP_T6FurnitureFactory_C
Jewelry Workshop	DA_JewelryWorkshop	Cold War	ColdWar	Cold War	ColdWar	Industry	Industry	Industrial	9500	0	0	False	BuildJewelryWorkshop	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_JewelryWorkshop.uasset	/Game/Blueprints/Buildings/ColdWar/JewelryWorkshop/BP_T6JewelryWorkshop.BP_T6JewelryWorkshop_C
Plastics Plant	DA_PlasticsPlant	Cold War	ColdWar	Cold War	ColdWar	Industry	Industry	Industrial	10500	0	0	False	BuildPlasticsPlant	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_PlasticsPlant.uasset	/Game/Blueprints/Buildings/ColdWar/PlasticsPlant/BP_T6PlasticsPlant.BP_T6PlasticsPlant_C
Vehicle Factory	DA_VehicleFactory	Cold War	ColdWar	Cold War	ColdWar	Industry	Industry	Industrial	22000	0	0	False	BuildVehicleFactory	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_VehicleFactory.uasset	/Game/Blueprints/Buildings/ColdWar/VehicleFactory/BP_T6VehicleFactory.BP_T6VehicleFactory_C
Metro Station	DA_MetroStation	Cold War	ColdWar	Cold War	ColdWar	Infrastructure	Infrastructure		5000	0	0	False	BuildMetroStation	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_MetroStation.uasset	/Game/Blueprints/Buildings/ColdWar/MetroStation/BP_T6MetroStation.BP_T6MetroStation_C
Nuclear Power Plant	DA_NuclearPowerPlant	Cold War	ColdWar	Cold War	ColdWar	Infrastructure	Infrastructure		32000	0	0	False	BuildNuclearPowerPlant	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_NuclearPowerPlant.uasset	/Game/Blueprints/Buildings/ColdWar/NuclearPowerPlant/BP_T6NuclearPowerPlant.BP_T6NuclearPowerPlant_C
Colosseum	DA_T6Colosseum	Cold War	ColdWar	Cold War	ColdWar	Landmarks			15000	0	0	True	BuildColosseumOfRome	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_T6Colosseum.uasset	/Game/Blueprints/Buildings/Landmarks/Colosseum/BP_T6Colosseum.BP_T6Colosseum_C
Great Sphinx	DA_T6GreatSphinx	Cold War	ColdWar	Cold War	ColdWar	Landmarks			15000	0	0	True	BuildGreatSphinx	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_T6GreatSphinx.uasset	/Game/Blueprints/Buildings/Landmarks/GreatSphinx/BP_T6GreatSphinx.BP_T6GreatSphinx_C
Jesus Statue	DA_T6JesusStatue	Cold War	ColdWar	Cold War	ColdWar	Landmarks			15000	0	0	True	BuildJesusStatue	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_T6JesusStatue.uasset	/Game/Blueprints/Buildings/Landmarks/JesusStatue/BP_T6JesusStatue.BP_T6JesusStatue_C
Saint Basil Cathedral	DA_T6SaintBasilCathedral	Cold War	ColdWar	Cold War	ColdWar	Landmarks			15000	0	0	True	BuildSaintBasilsCathedral	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_T6SaintBasilCathedral.uasset	/Game/Blueprints/Buildings/Landmarks/SaintBasilCathedral/BP_T6SaintBasilCathedral.BP_T6SaintBasilCathedral_C
Statue Of Liberty	DA_T6StatueOfLiberty	Cold War	ColdWar	Cold War	ColdWar	Landmarks			15000	0	0	True	BuildStatueOfLiberty	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_T6StatueOfLiberty.uasset	/Game/Blueprints/Buildings/Landmarks/StatueOfLiberty/BP_T6StatueOfLiberty.BP_T6StatueOfLiberty_C
The Ball	DA_TheBall	Cold War	ColdWar	Cold War	ColdWar	Landmarks			12500	0	0	True		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_TheBall.uasset	
Casino	DA_Casino	Cold War	ColdWar	Cold War	ColdWar	LuxuryEntertainment	LuxuryEntertainment	Entertainment	9200	0	0	False	BuildCasino	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_Casino.uasset	/Game/Blueprints/Buildings/ColdWar/Casino/BP_T6Casino.BP_T6Casino_C
Cocktail Bar	DA_CocktailBar	Cold War	ColdWar	Cold War	ColdWar	LuxuryEntertainment	LuxuryEntertainment	Entertainment	3400	0	0	False	BuildCocktailBar	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_CocktailBar.uasset	/Game/Blueprints/Buildings/ColdWar/CocktailBar/BP_T6CocktailBar.BP_T6CocktailBar_C
Golf Course	DA_T6GolfCourse	Cold War	ColdWar	Cold War	ColdWar	LuxuryEntertainment	LuxuryEntertainment	Entertainment	12000	0	0	False	BuildGolfCourse	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_T6GolfCourse.uasset	/Game/Blueprints/Buildings/ColdWar/GolfCourse/BP_T6GolfCourse.BP_T6GolfCourse_C
Gourmet Restaurant	DA_T6GourmetRestaurant	Cold War	ColdWar	Cold War	ColdWar	LuxuryEntertainment	LuxuryEntertainment	Entertainment	16000	0	0	False	BuildGourmetRestaurant	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_T6GourmetRestaurant.uasset	/Game/Blueprints/Buildings/ColdWar/GourmetRestaurant/BP_T6GourmetRestaurant.BP_T6GourmetRestaurant_C
Night Club	DA_NightClub	Cold War	ColdWar	Cold War	ColdWar	LuxuryEntertainment	LuxuryEntertainment	Entertainment	9800	0	0	False	BuildNightClub	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_NightClub.uasset	/Game/Blueprints/Buildings/ColdWar/NightClub/BP_T6NightClub.BP_T6NightClub_C
Snorkel Bay	DA_SnorkelBay	Cold War	ColdWar	Cold War	ColdWar	LuxuryEntertainment	LuxuryEntertainment	Entertainment	3000	0	0	False	BuildSnorkelBay	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_SnorkelBay.uasset	/Game/Blueprints/Buildings/ColdWar/SnorkelBay/BP_T6SnorkelBay.BP_T6SnorkelBay_C
Childhood Museum	DA_T6ChildhoodMuseum	Cold War	ColdWar	Cold War	ColdWar	MediaAndEducation	MediaEducation		7500	0	0	False	BuildChildhoodMuseum	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_T6ChildhoodMuseum.uasset	/Game/Blueprints/Buildings/ColdWar/ChildhoodMuseum/BP_T6ChildhoodMuseum.BP_T6ChildhoodMuseum_C
Inspiring Billboard	DA_T6InspiringBillboard	Cold War	ColdWar	Cold War	ColdWar	MediaAndEducation	MediaEducation	Govermental	450	0	0	False	BuildInspiringBillboard	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_T6InspiringBillboard.uasset	/Game/Blueprints/Buildings/ColdWar/InspiringBillboard/BP_T6InspiringBillboard.BP_T6InspiringBillboard_C
Inspiring Statue	DA_T6InspiringStatue	Cold War	ColdWar	Cold War	ColdWar	MediaAndEducation	MediaEducation		5000	0	0	False	BuildInspiringStatue	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_T6InspiringStatue.uasset	/Game/Blueprints/Buildings/ColdWar/InspiringStatue/BP_T6InspiringStatue.BP_T6InspiringStatue_C
Mausoleum	DA_T6Mausoleum	Cold War	ColdWar	Cold War	ColdWar	MediaAndEducation	MediaEducation	Educational	28000	0	0	False	BuildMausoleum	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_T6Mausoleum.uasset	/Game/Blueprints/Buildings/ColdWar/Mausoleum/BP_T6Mausoleum.BP_T6Mausoleum_C
Nuclear Program	DA_T6NuclearProgram	Cold War	ColdWar	Cold War	ColdWar	MediaAndEducation	MediaEducation		35000	0	0	False	BuildNuclearProgram	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_T6NuclearProgram.uasset	/Game/Blueprints/Buildings/ColdWar/NuclearProgram/BP_T6NuclearProgram.BP_T6NuclearProgram_C
Research Lab	DA_ResearchLab	Cold War	ColdWar	Cold War	ColdWar	MediaAndEducation	MediaEducation	Research	16000	0	0	False	BuildResearchLab	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_ResearchLab.uasset	/Game/Blueprints/Buildings/ColdWar/ResearchLab/BP_T6ResearchLab.BP_T6ResearchLab_C
Space Program	DA_T6SpaceProgram	Cold War	ColdWar	Cold War	ColdWar	MediaAndEducation	MediaEducation	Research	42000	0	0	False	BuildSpaceProgram	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_T6SpaceProgram.uasset	/Game/Blueprints/Buildings/ColdWar/SpaceProgram/BP_T6SpaceProgram.BP_T6SpaceProgram_C
TV Station	DA_T6TVStation	Cold War	ColdWar	Cold War	ColdWar	MediaAndEducation	MediaEducation	Media	8200	0	0	False	BuildTVStation	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_T6TVStation.uasset	/Game/Blueprints/Buildings/ColdWar/TVStation/BP_T6TVStation.BP_T6TVStation_C
Aircraft Carrier	DA_AircraftCarrier	Cold War	ColdWar	Cold War	ColdWar	Military	Military	Military	35000	0	0	False	BuildAircraftCarrier	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_AircraftCarrier.uasset	/Game/Blueprints/Buildings/ColdWar/AircraftCarrier/BP_T6AircraftCarrier.BP_T6AircraftCarrier_C
Security Checkpoint	DA_SecurityCheckpoint	Cold War	ColdWar	Cold War	ColdWar	Military	Military		480	0	0	False	BuildSecurityCheckpoint	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_SecurityCheckpoint.uasset	/Game/Blueprints/Buildings/ColdWar/SecurityCheckpoint/BP_T6SecurityCheckpoint.BP_T6SecurityCheckpoint_C
Spy Academy	DA_SpyAcademy	Cold War	ColdWar	Cold War	ColdWar	Military	Military	Raid	12000	0	0	False	BuildSpyAcademy	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_SpyAcademy.uasset	/Game/Blueprints/Buildings/ColdWar/SpyAcademy/BP_T6SpyAcademy.BP_T6SpyAcademy_C
Asylum	DA_Asylum	Cold War	ColdWar	Cold War	ColdWar	PublicServices	PublicService		7500	0	0	False	BuildAsylum	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_Asylum.uasset	/Game/Blueprints/Buildings/ColdWar/Asylum/BP_T6Asylum.BP_T6Asylum_C
Cathedral	DA_Cathedral	Cold War	ColdWar	Cold War	ColdWar	PublicServices	PublicService	Religious	12600	0	0	False	BuildCathedral	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_Cathedral.uasset	/Game/Blueprints/Buildings/ColdWar/Cathedral/BP_T6Cathedral.BP_T6Cathedral_C
Garbage Dump	DA_GarbageDump	Cold War	ColdWar	Cold War	ColdWar	PublicServices	PublicService		1000	0	0	False	BuildGarbageDump	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_GarbageDump.uasset	/Game/Blueprints/Buildings/ColdWar/GarbageDump/BP_T6GarbageDump.BP_T6GarbageDump_C
Hospital	DA_Hospital	Cold War	ColdWar	Cold War	ColdWar	PublicServices	PublicService	Healthcare	7800	0	0	False	BuildHospital	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_Hospital.uasset	/Game/Blueprints/Buildings/ColdWar/Hospital/BP_T6Hospital.BP_T6Hospital_C
Ancient Ruins	DA_AncientRuins	Cold War	ColdWar	Cold War	ColdWar	Tourism	Tourism	Tourism	2500	0	0	False	BuildAncientRuins	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_AncientRuins.uasset	/Game/Blueprints/Buildings/AncientRuins/BP_T6AncientRuins.BP_T6AncientRuins_C
Beach Villa	DA_BeachVilla	Cold War	ColdWar	Cold War	ColdWar	Tourism	Tourism	Tourism	1100	0	0	False	BuildBeachVilla	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_BeachVilla.uasset	/Game/Blueprints/Buildings/ColdWar/BeachVilla/BP_T6BeachVilla.BP_T6BeachVilla_C
Cabana Village	DA_CabanaVillage	Cold War	ColdWar	Cold War	ColdWar	Tourism	Tourism	Tourism	1900	0	0	False	BuildCabanaVillage	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_CabanaVillage.uasset	/Game/Blueprints/Buildings/ColdWar/CabanaVillage/BP_T6CabanaVillage.BP_T6CabanaVillage_C
Cabin	DA_Cabin	Cold War	ColdWar	Cold War	ColdWar	Tourism	Tourism	Tourism	700	0	0	False	BuildCabin	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_Cabin.uasset	/Game/Blueprints/Buildings/ColdWar/Cabin/BP_T6Cabin.BP_T6Cabin_C
Ethnic Enclave	DA_EthnicEnclave	Cold War	ColdWar	Cold War	ColdWar	Tourism	Tourism	Tourism	6600	0	0	False	BuildEthnicEnclave	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_EthnicEnclave.uasset	/Game/Blueprints/Buildings/ColdWar/EthnicEnclave/BP_T6EthnicEnclave.BP_T6EthnicEnclave_C
Hotel	DA_Hotel	Cold War	ColdWar	Cold War	ColdWar	Tourism	Tourism	Tourism	4400	0	0	False	BuildHotel	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_Hotel.uasset	/Game/Blueprints/Buildings/ColdWar/Hotel/BP_T6Hotel.BP_T6Hotel_C
Motel	DA_Motel	Cold War	ColdWar	Cold War	ColdWar	Tourism	Tourism	Tourism	2150	0	0	False	BuildMotel	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_Motel.uasset	/Game/Blueprints/Buildings/ColdWar/Motel/BP_T6Motel.BP_T6Motel_C
Scenic Outlook	DA_ScenicOutlook	Cold War	ColdWar	Cold War	ColdWar	Tourism	Tourism	Tourism	500	0	0	False	BuildScenicOutlook	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_ScenicOutlook.uasset	/Game/Blueprints/Buildings/ColdWar/ScenicOutlook/BP_T6ScenicOutlook.BP_T6ScenicOutlook_C
Souvenir Shop	DA_SouvenirShop	Cold War	ColdWar	Cold War	ColdWar	Tourism	Tourism	Tourism	1320	0	0	False	BuildSouvenirShop	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_SouvenirShop.uasset	/Game/Blueprints/Buildings/ColdWar/SouvenirShop/BP_T6SouvenirShop.BP_T6SouvenirShop_C
Tour Office	DA_TourOffice	Cold War	ColdWar	Cold War	ColdWar	Tourism	Tourism	Tourism	2400	0	0	False	BuildTourOffice	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_TourOffice.uasset	/Game/Blueprints/Buildings/ColdWar/TourOffice/BP_T6TourOffice.BP_T6TourOffice_C
